date,NO2,O3,PM10,PM25,site_code
2020-01-31,15.720833333333333,53.95833333333332,,,KC1
2020-02-01,12.658333333333333,65.67500000000001,,,KC1
2020-02-02,15.875000000000005,60.550000000000004,,,KC1
2020-02-03,19.462500000000002,58.59583333333334,,,KC1
2020-02-04,23.041666666666668,51.05833333333334,,,KC1
2020-02-05,55.29583333333334,6.995833333333333,,,KC1
2020-02-06,61.99166666666667,5.1499999999999995,,,KC1
2020-02-07,42.291666666666664,21.412500000000005,,,KC1
2020-02-08,17.191666666666666,58.68750000000001,,,KC1
2020-02-09,5.5625,75.85833333333333,,,KC1
2020-02-10,13.191666666666665,69.12916666666668,,,KC1
2020-02-11,14.466666666666669,68.7666666666667,,,KC1
2020-02-12,24.047826086956523,54.09565217391304,,,KC1
2020-02-13,22.416666666666668,60.73750000000001,,,KC1
2020-02-14,31.52083333333334,41.358333333333334,,,KC1
2020-02-15,7.512500000000002,60.68750000000001,,,KC1
2020-02-16,7.708333333333333,76.475,,,KC1
2020-02-17,13.9,66.5375,,,KC1
2020-02-18,15.533333333333333,64.20416666666667,,,KC1
2020-02-19,23.77916666666667,51.87916666666667,,,KC1
2020-02-20,15.812500000000002,66.84583333333333,,,KC1
2020-02-21,13.491666666666665,67.51666666666667,,,KC1
2020-02-22,7.545833333333334,78.09583333333333,,,KC1
2020-02-23,16.67083333333333,55.95000000000001,,,KC1
2020-02-24,16.330434782608698,56.75217391304348,,,KC1
2020-02-25,18.1,62.26666666666667,,,KC1
2020-02-26,23.345833333333335,54.929166666666674,,,KC1
2020-02-27,29.120833333333334,49.849999999999994,,,KC1
2020-02-28,25.904761904761905,46.10000000000001,,,KC1
2020-02-29,9.929166666666665,68.76666666666667,,,KC1
2020-03-01,10.308333333333334,70.41250000000001,,,KC1
2020-03-02,24.854166666666668,55.31249999999999,,,KC1
2020-03-03,36.4875,38.029166666666676,,,KC1
2020-03-04,43.354166666666664,30.920833333333334,,,KC1
2020-03-05,20.212500000000002,51.89583333333332,,,KC1
2020-03-06,40.716666666666676,38.40416666666666,,,KC1
2020-03-07,27.47916666666667,45.800000000000004,,,KC1
2020-03-08,10.5625,71.50416666666666,,,KC1
2020-03-09,17.562500000000004,58.75416666666666,,,KC1
2020-03-10,11.643478260869566,53.40869565217392,,,KC1
2020-03-11,12.424999999999999,70.175,,,KC1
2020-03-12,12.183333333333332,64.74166666666666,,,KC1
2020-03-13,17.958333333333332,59.583333333333336,,,KC1
2020-03-14,12.112499999999999,66.0125,,,KC1
2020-03-15,15.699999999999998,65.25833333333334,,,KC1
2020-03-16,30.470833333333328,39.60416666666667,,,KC1
2020-03-17,15.495833333333335,60.162499999999994,,,KC1
2020-03-18,14.662500000000001,57.79583333333334,,,KC1
2020-03-19,21.45,45.270833333333336,,,KC1
2020-03-20,11.579166666666666,64.39999999999999,,,KC1
2020-03-21,13.629166666666668,60.425000000000004,,,KC1
2020-03-22,15.366666666666667,56.19583333333333,,,KC1
2020-03-23,34.80833333333334,43.699999999999996,,,KC1
2020-03-24,26.125,60.270833333333336,,,KC1
2020-03-25,42.949999999999996,45.56249999999999,,,KC1
2020-03-26,22.595652173913045,64.13043478260869,,,KC1
2020-03-27,13.454166666666667,78.11666666666666,,,KC1
2020-03-28,6.558333333333333,82.51666666666667,,,KC1
2020-03-29,4.033333333333334,73.85416666666666,,,KC1
2020-03-30,9.466666666666667,63.32916666666668,,,KC1
2020-03-31,12.795833333333334,65.975,,,KC1
2020-04-01,23.420833333333334,51.25,,,KC1
2020-04-02,14.733333333333334,55.091666666666676,,,KC1
2020-04-03,21.825,47.79583333333334,,,KC1
2020-04-04,18.679166666666667,52.64166666666667,,,KC1
2020-04-05,12.116666666666667,74.34583333333332,,,KC1
2020-04-06,14.35416666666667,63.74583333333333,,,KC1
2020-04-07,31.33749999999999,47.074999999999996,,,KC1
2020-04-08,37.58333333333333,56.866666666666674,,,KC1
2020-04-09,35.25000000000001,57.712500000000006,,,KC1
2020-04-10,31.849999999999998,58.320833333333326,,,KC1
2020-04-11,27.97083333333333,59.270833333333336,,,KC1
2020-04-12,13.724999999999996,81.00416666666668,,,KC1
2020-04-13,4.5874999999999995,73.62083333333335,,,KC1
2020-04-14,10.633333333333333,75.0857142857143,,,KC1
2020-04-15,26.470833333333342,64.03333333333333,,,KC1
2020-04-16,34.82500000000001,52.83750000000001,,,KC1
2020-04-17,12.945833333333333,68.60000000000001,,,KC1
