NO2,O3,PM10,PM25,date,site_code
10.374999999999998,,,,2020-04-18,BG1
12.4,,15.5,,2020-02-01,BG2
15.758333333333333,,16.741666666666664,,2020-02-02,BG2
22.125,,19.09583333333333,,2020-02-03,BG2
27.154166666666672,,14.516666666666667,,2020-02-04,BG2
52.69999999999999,,31.608333333333324,,2020-02-05,BG2
55.849999999999994,,37.337500000000006,,2020-02-06,BG2
37.487500000000004,,31.662499999999998,,2020-02-07,BG2
15.641666666666666,,17.0125,,2020-02-08,BG2
6.312499999999999,,14.012499999999998,,2020-02-09,BG2
15.374999999999998,,11.924999999999999,,2020-02-10,BG2
18.0375,,14.49583333333333,,2020-02-11,BG2
26.51666666666667,,13.779166666666667,,2020-02-12,BG2
23.42083333333333,,9.608333333333333,,2020-02-13,BG2
23.08333333333334,,18.633333333333333,,2020-02-14,BG2
4.870833333333333,,8.229166666666666,,2020-02-15,BG2
6.45,,5.320833333333335,,2020-02-16,BG2
14.854166666666666,,13.824999999999998,,2020-02-17,BG2
20.0625,,13.941666666666665,,2020-02-18,BG2
24.925000000000008,,12.216666666666667,,2020-02-19,BG2
15.658333333333333,,6.408333333333335,,2020-02-20,BG2
17.65416666666667,,19.69583333333333,,2020-02-21,BG2
10.024999999999999,,16.991666666666667,,2020-02-22,BG2
15.9125,,8.343478260869565,,2020-02-23,BG2
19.0375,,8.749999999999998,,2020-02-24,BG2
21.156521739130437,,9.41818181818182,,2020-02-25,BG2
25.21666666666667,,10.558333333333335,,2020-02-26,BG2
33.93333333333333,,10.741666666666669,,2020-02-27,BG2
24.6125,,15.312500000000002,,2020-02-28,BG2
7.737499999999998,,18.520833333333332,,2020-02-29,BG2
7.008333333333333,,11.970833333333333,,2020-03-01,BG2
25.087500000000006,,9.945833333333335,,2020-03-02,BG2
35.050000000000004,,15.416666666666666,,2020-03-03,BG2
36.487500000000004,,16.254166666666663,,2020-03-04,BG2
17.879166666666666,,13.195833333333331,,2020-03-05,BG2
33.625,,20.933333333333334,,2020-03-06,BG2
25.687499999999996,,24.154166666666658,,2020-03-07,BG2
9.391666666666667,,12.412500000000001,,2020-03-08,BG2
,,14.326086956521737,,2020-03-09,BG2
,,7.4624999999999995,,2020-03-10,BG2
16.204166666666666,,13.516666666666667,,2020-03-11,BG2
15.133333333333333,,17.94782608695652,,2020-03-12,BG2
21.004166666666666,,19.608333333333334,,2020-03-13,BG2
11.679166666666665,,12.762500000000003,,2020-03-14,BG2
12.125000000000002,,9.366666666666669,,2020-03-15,BG2
32.74583333333333,,15.729166666666666,,2020-03-16,BG2
18.875000000000004,,21.691666666666666,,2020-03-17,BG2
16.933333333333334,,19.416666666666668,,2020-03-18,BG2
19.4375,,16.420833333333334,,2020-03-19,BG2
11.295833333333333,,13.950000000000001,,2020-03-20,BG2
10.51666666666667,,18.15833333333333,,2020-03-21,BG2
11.533333333333333,,18.07083333333333,,2020-03-22,BG2
29.420833333333334,,26.125000000000004,,2020-03-23,BG2
37.34166666666666,,28.54583333333333,,2020-03-24,BG2
36.46666666666666,,29.98260869565217,,2020-03-25,BG2
24.308333333333337,,37.166666666666664,,2020-03-26,BG2
15.200000000000001,,36.50000000000001,,2020-03-27,BG2
8.083333333333332,,22.974999999999994,,2020-03-28,BG2
5.458333333333333,,14.666666666666664,,2020-03-29,BG2
12.18333333333333,,14.766666666666667,,2020-03-30,BG2
16.79583333333333,,16.6875,,2020-03-31,BG2
28.133333333333336,,18.375000000000004,,2020-04-01,BG2
18.925,,13.629166666666668,,2020-04-02,BG2
24.329166666666666,,19.437499999999996,,2020-04-03,BG2
22.38333333333334,,21.012500000000006,,2020-04-04,BG2
20.187500000000004,,18.37826086956522,,2020-04-05,BG2
19.999999999999996,,14.054166666666667,,2020-04-06,BG2
